#Note:G; Temperature:25°C
#f[Hz] Re(Z/Zc) Im(Z/Zc)
506 3.08799873e-1 1.79077042e+0
508 3.22573712e-1 1.86453739e+0
510 3.37390898e-1 1.94129881e+0
512 3.53354568e-1 2.02126602e+0
514 3.70580787e-1 2.10466995e+0
516 3.89200522e-1 2.19176343e+0
518 4.09361972e-1 2.28282381e+0
520 4.31233330e-1 2.37815588e+0
522 4.55006074e-1 2.47809529e+0
524 4.80898899e-1 2.58301241e+0
526 5.09162433e-1 2.69331682e+0
528 5.40084932e-1 2.80946238e+0
530 5.73999174e-1 2.93195318e+0
532 6.11290860e-1 3.06135032e+0
534 6.52408892e-1 3.19827978e+0
536 6.97878028e-1 3.34344154e+0
538 7.48314543e-1 3.49762007e+0
540 8.04445744e-1 3.66169649e+0
542 8.67134404e-1 3.83666262e+0
544 9.37409611e-1 4.02363709e+0
546 1.01650593e+0 4.22388379e+0
548 1.10591349e+0 4.43883274e+0
550 1.20744259e+0 4.67010340e+0
552 1.32330754e+0 4.91952992e+0
554 1.45623643e+0 5.18918757e+0
556 1.60961604e+0 5.48141798e+0
558 1.78768452e+0 5.79884928e+0
560 1.99578982e+0 6.14440349e+0
562 2.24073872e+0 6.52127725e+0
564 2.53127134e+0 6.93287119e+0
566 2.87870898e+0 7.38262361e+0
568 3.29783998e+0 7.87366943e+0
570 3.80812512e+0 8.40818356e+0
572 4.43531358e+0 8.98615721e+0
574 5.21353264e+0 9.60316100e+0
576 6.18777769e+0 1.02463154e+1
578 7.41629725e+0 1.08871569e+1
580 8.97121846e+0 1.14693860e+1
582 1.09330322e+1 1.18890700e+1
584 1.33690254e+1 1.19667526e+1
586 1.62777778e+1 1.14208678e+1
588 1.94820460e+1 9.88018249e+0
590 2.24982986e+1 7.01554066e+0
592 2.45413178e+1 2.84245596e+0
594 2.48844396e+1 -2.00852211e+0
596 2.34094654e+1 -6.49941404e+0
598 2.07048996e+1 -9.83096740e+0
600 1.75813247e+1 -1.18163102e+1
602 1.46173649e+1 -1.27075695e+1
604 1.20702860e+1 -1.28722466e+1
606 9.98631416e+0 -1.26151742e+1
608 8.31756822e+0 -1.21406458e+1
610 6.98971840e+0 -1.15714609e+1
612 5.93106223e+0 -1.09766427e+1
614 5.08171579e+0 -1.03928481e+1
616 4.39456689e+0 -9.83816186e+0
618 3.83348839e+0 -9.32032756e+0
620 3.37102931e+0 -8.84148671e+0
622 2.98634268e+0 -8.40085676e+0
624 2.66353185e+0 -7.99622674e+0
626 2.39039483e+0 -7.62478188e+0
628 2.15749152e+0 -7.28354940e+0
630 1.95745659e+0 -6.96963104e+0
632 1.78449383e+0 -6.68031609e+0
634 1.63400288e+0 -6.41312827e+0
636 1.50230216e+0 -6.16583659e+0
638 1.38642183e+0 -5.93644747e+0
640 1.28394791e+0 -5.72318776e+0
642 1.19290402e+0 -5.52448418e+0
644 1.11166090e+0 -5.33894193e+0
646 1.03886672e+0 -5.16532435e+0
648 9.73392889e-1 -5.00253401e+0
650 9.14291755e-1 -4.84959581e+0
652 8.60763170e-1 -4.70564184e+0
654 8.12128026e-1 -4.56989823e+0
656 7.67807099e-1 -4.44167358e+0
658 7.27304053e-1 -4.32034882e+0
660 6.90191690e-1 -4.20536856e+0
662 6.56100777e-1 -4.09623340e+0
664 6.24710908e-1 -3.99249336e+0
666 5.95742992e-1 -3.89374214e+0
668 5.68953050e-1 -3.79961210e+0
670 5.44127064e-1 -3.70976992e+0
672 5.21076686e-1 -3.62391279e+0
674 4.99635637e-1 -3.54176507e+0
676 4.79656691e-1 -3.46307540e+0
678 4.61009113e-1 -3.38761412e+0
680 4.43576504e-1 -3.31517105e+0
682 4.27254951e-1 -3.24555346e+0
684 4.11951462e-1 -3.17858437e+0
686 3.97582618e-1 -3.11410096e+0
688 3.84073416e-1 -3.05195325e+0
690 3.71356269e-1 -2.99200280e+0
692 3.59370147e-1 -2.93412171e+0
694 3.48059829e-1 -2.87819159e+0
696 3.37375251e-1 -2.82410274e+0
698 3.27270938e-1 -2.77175334e+0
700 3.17705513e-1 -2.72104878e+0
702 3.08641257e-1 -2.67190104e+0
704 3.00043732e-1 -2.62422811e+0
706 2.91881440e-1 -2.57795350e+0
708 2.84125533e-1 -2.53300579e+0
710 2.76749544e-1 -2.48931820e+0
712 2.69729159e-1 -2.44682824e+0
714 2.63042011e-1 -2.40547735e+0
716 2.56667492e-1 -2.36521062e+0
718 2.50586593e-1 -2.32597648e+0
720 2.44781758e-1 -2.28772647e+0
722 2.39236750e-1 -2.25041501e+0
724 2.33936537e-1 -2.21399916e+0
726 2.28867185e-1 -2.17843846e+0
728 2.24015764e-1 -2.14369475e+0
730 2.19370263e-1 -2.10973198e+0
732 2.14919512e-1 -2.07651609e+0
734 2.10653113e-1 -2.04401486e+0
736 2.06561378e-1 -2.01219780e+0
738 2.02635271e-1 -1.98103602e+0
740 1.98866358e-1 -1.95050210e+0
742 1.95246758e-1 -1.92057006e+0
744 1.91769100e-1 -1.89121521e+0
746 1.88426489e-1 -1.86241407e+0
748 1.85212462e-1 -1.83414432e+0
750 1.82120966e-1 -1.80638473e+0
752 1.79146319e-1 -1.77911504e+0
754 1.76283189e-1 -1.75231598e+0
756 1.73526567e-1 -1.72596914e+0
758 1.70871745e-1 -1.70005696e+0
760 1.68314294e-1 -1.67456264e+0
762 1.65850046e-1 -1.64947016e+0
764 1.63475076e-1 -1.62476416e+0
766 1.61185687e-1 -1.60042996e+0
768 1.58978392e-1 -1.57645348e+0
770 1.56849905e-1 -1.55282124e+0
772 1.54797121e-1 -1.52952030e+0
774 1.52817114e-1 -1.50653823e+0
776 1.50907118e-1 -1.48386312e+0
778 1.49064520e-1 -1.46148348e+0
780 1.47286851e-1 -1.43938830e+0
782 1.45571778e-1 -1.41756697e+0
784 1.43917095e-1 -1.39600925e+0
786 1.42320714e-1 -1.37470529e+0
788 1.40780662e-1 -1.35364559e+0
790 1.39295071e-1 -1.33282099e+0
792 1.37862176e-1 -1.31222261e+0
794 1.36480304e-1 -1.29184190e+0
796 1.35147876e-1 -1.27167059e+0
798 1.33863394e-1 -1.25170064e+0
800 1.32625446e-1 -1.23192431e+0
802 1.31432692e-1 -1.21233406e+0
804 1.30283868e-1 -1.19292259e+0
806 1.29177780e-1 -1.17368283e+0
808 1.28113299e-1 -1.15460788e+0
810 1.27089360e-1 -1.13569106e+0
812 1.26104958e-1 -1.11692584e+0
814 1.25159146e-1 -1.09830588e+0
816 1.24251033e-1 -1.07982501e+0
818 1.23379782e-1 -1.06147720e+0
820 1.22544605e-1 -1.04325654e+0
822 1.21744764e-1 -1.02515730e+0
824 1.20979570e-1 -1.00717383e+0
826 1.20248377e-1 -9.89300645e-1
828 1.19550587e-1 -9.71532331e-1
830 1.18885643e-1 -9.53863600e-1
832 1.18253028e-1 -9.36289253e-1
834 1.17652271e-1 -9.18804184e-1
836 1.17082935e-1 -9.01403369e-1
838 1.16544625e-1 -8.84081861e-1
840 1.16036985e-1 -8.66834786e-1
842 1.15559694e-1 -8.49657332e-1
844 1.15112469e-1 -8.32544747e-1
846 1.14695066e-1 -8.15492333e-1
848 1.14307273e-1 -7.98495436e-1
850 1.13948917e-1 -7.81549448e-1
852 1.13619860e-1 -7.64649793e-1
854 1.13320001e-1 -7.47791927e-1
856 1.13049272e-1 -7.30971331e-1
858 1.12807646e-1 -7.14183504e-1
860 1.12595128e-1 -6.97423960e-1
862 1.12411763e-1 -6.80688220e-1
864 1.12257633e-1 -6.63971808e-1
866 1.12132857e-1 -6.47270244e-1
868 1.12037595e-1 -6.30579041e-1
870 1.11972046e-1 -6.13893695e-1
872 1.11936451e-1 -5.97209684e-1
874 1.11931093e-1 -5.80522457e-1
876 1.11956299e-1 -5.63827431e-1
878 1.12012443e-1 -5.47119984e-1
880 1.12099943e-1 -5.30395449e-1
882 1.12219271e-1 -5.13649104e-1
884 1.12370948e-1 -4.96876170e-1
886 1.12555550e-1 -4.80071800e-1
888 1.12773710e-1 -4.63231073e-1
890 1.13026121e-1 -4.46348985e-1
892 1.13313540e-1 -4.29420441e-1
894 1.13636792e-1 -4.12440249e-1
896 1.13996772e-1 -3.95403105e-1
898 1.14394451e-1 -3.78303588e-1
900 1.14830884e-1 -3.61136150e-1
902 1.15307208e-1 -3.43895102e-1
904 1.15824658e-1 -3.26574604e-1
906 1.16384565e-1 -3.09168653e-1
908 1.16988368e-1 -2.91671073e-1
910 1.17637622e-1 -2.74075492e-1
912 1.18334007e-1 -2.56375339e-1
914 1.19079337e-1 -2.38563820e-1
916 1.19875573e-1 -2.20633902e-1
918 1.20724834e-1 -2.02578297e-1
920 1.21629414e-1 -1.84389441e-1
922 1.22591793e-1 -1.66059474e-1
924 1.23614659e-1 -1.47580215e-1
926 1.24700926e-1 -1.28943136e-1
928 1.25853755e-1 -1.10139341e-1
930 1.27076578e-1 -9.11595291e-2
932 1.28373131e-1 -7.19939696e-2
934 1.29747477e-1 -5.26324628e-2
936 1.31204048e-1 -3.30643048e-2
938 1.32747684e-1 -1.32782459e-2
940 1.34383674e-1 6.73755383e-3
942 1.36117811e-1 2.69955735e-2
944 1.37956453e-1 4.75089847e-2
946 1.39906584e-1 6.82917096e-2
948 1.41975896e-1 8.93584852e-2
950 1.44172872e-1 1.10724933e-1
952 1.46506893e-1 1.32407637e-1
954 1.48988353e-1 1.54424225e-1
956 1.51628790e-1 1.76793464e-1
958 1.54441049e-1 1.99535359e-1
960 1.57439463e-1 2.22671267e-1
962 1.60640065e-1 2.46224012e-1
964 1.64060839e-1 2.70218022e-1
966 1.67722012e-1 2.94679469e-1
968 1.71646404e-1 3.19636426e-1
970 1.75859835e-1 3.45119028e-1
972 1.80391609e-1 3.71159656e-1
974 1.85275096e-1 3.97793113e-1
976 1.90548421e-1 4.25056824e-1
978 1.96255293e-1 4.52991016e-1
980 2.02446007e-1 4.81638909e-1
982 2.09178642e-1 5.11046871e-1
984 2.16520525e-1 5.41264534e-1
986 2.24550006e-1 5.72344846e-1
988 2.33358621e-1 6.04343995e-1
990 2.43053742e-1 6.37321161e-1
992 2.53761813e-1 6.71337991e-1
994 2.65632336e-1 7.06457654e-1
996 2.78842755e-1 7.42743278e-1
998 2.93604448e-1 7.80255475e-1
1000 3.10170059e-1 8.19048499e-1
1002 3.28842394e-1 8.59164420e-1
