#Note:E; Temperature:25°C
#f[Hz] Re(Z/Zc) Im(Z/Zc)
610 1.42707859e-1 -1.35634640e+0
612 1.41031427e-1 -1.33057912e+0
614 1.39430733e-1 -1.30511520e+0
616 1.37903018e-1 -1.27993945e+0
618 1.36445709e-1 -1.25503726e+0
620 1.35056408e-1 -1.23039455e+0
622 1.33732886e-1 -1.20599776e+0
624 1.32473070e-1 -1.18183376e+0
626 1.31275032e-1 -1.15788987e+0
628 1.30136984e-1 -1.13415382e+0
630 1.29057271e-1 -1.11061369e+0
632 1.28034362e-1 -1.08725792e+0
634 1.27066844e-1 -1.06407528e+0
636 1.26153419e-1 -1.04105480e+0
638 1.25292897e-1 -1.01818583e+0
640 1.24484189e-1 -9.95457934e-1
642 1.23726310e-1 -9.72860922e-1
644 1.23018366e-1 -9.50384810e-1
646 1.22359558e-1 -9.28019806e-1
648 1.21749179e-1 -9.05756287e-1
650 1.21186604e-1 -8.83584784e-1
652 1.20671298e-1 -8.61495967e-1
654 1.20202806e-1 -8.39480621e-1
656 1.19780755e-1 -8.17529636e-1
658 1.19404855e-1 -7.95633989e-1
660 1.19074893e-1 -7.73784726e-1
662 1.18790735e-1 -7.51972949e-1
664 1.18552326e-1 -7.30189798e-1
666 1.18359692e-1 -7.08426440e-1
668 1.18212935e-1 -6.86674049e-1
670 1.18112237e-1 -6.64923793e-1
672 1.18057862e-1 -6.43166819e-1
674 1.18050154e-1 -6.21394237e-1
676 1.18089540e-1 -5.99597103e-1
678 1.18176534e-1 -5.77766408e-1
680 1.18311735e-1 -5.55893057e-1
682 1.18495832e-1 -5.33967854e-1
684 1.18729607e-1 -5.11981486e-1
686 1.19013937e-1 -4.89924507e-1
688 1.19349800e-1 -4.67787317e-1
690 1.19738276e-1 -4.45560146e-1
692 1.20180554e-1 -4.23233035e-1
694 1.20677935e-1 -4.00795814e-1
696 1.21231840e-1 -3.78238086e-1
698 1.21843815e-1 -3.55549198e-1
700 1.22515537e-1 -3.32718226e-1
702 1.23248823e-1 -3.09733948e-1
704 1.24045637e-1 -2.86584816e-1
706 1.24908099e-1 -2.63258935e-1
708 1.25838497e-1 -2.39744032e-1
710 1.26839295e-1 -2.16027426e-1
712 1.27913145e-1 -1.92095998e-1
714 1.29062902e-1 -1.67936156e-1
716 1.30291638e-1 -1.43533802e-1
718 1.31602654e-1 -1.18874291e-1
720 1.32999503e-1 -9.39423919e-2
722 1.34486004e-1 -6.87222433e-2
724 1.36066264e-1 -4.31973077e-2
726 1.37744699e-1 -1.73503208e-2
728 1.39526065e-1 8.83676212e-3
730 1.41415477e-1 3.53828244e-2
732 1.43418445e-1 6.23076505e-2
734 1.45540905e-1 8.96319930e-2
736 1.47789255e-1 1.17377647e-1
738 1.50170400e-1 1.45567526e-1
740 1.52691791e-1 1.74225752e-1
742 1.55361478e-1 2.03377744e-1
744 1.58188167e-1 2.33050324e-1
746 1.61181276e-1 2.63271820e-1
748 1.64351012e-1 2.94072194e-1
750 1.67708437e-1 3.25483164e-1
752 1.71265562e-1 3.57538356e-1
754 1.75035437e-1 3.90273453e-1
756 1.79032262e-1 4.23726368e-1
758 1.83271502e-1 4.57937435e-1
760 1.87770024e-1 4.92949612e-1
762 1.92546250e-1 5.28808709e-1
764 1.97620327e-1 5.65563639e-1
766 2.03014320e-1 6.03266692e-1
768 2.08752431e-1 6.41973843e-1
770 2.14861251e-1 6.81745088e-1
772 2.21370039e-1 7.22644817e-1
774 2.28311051e-1 7.64742233e-1
776 2.35719904e-1 8.08111811e-1
778 2.43636005e-1 8.52833814e-1
780 2.52103035e-1 8.98994866e-1
