#Note:A; Temperature:25°C
#f[Hz] Re(Z/Zc) Im(Z/Zc)
624 4.17641233e-1 2.45065453e+0
626 4.36417726e-1 2.53069615e+0
628 4.56543696e-1 2.61398461e+0
630 4.78147398e-1 2.70073614e+0
632 5.01372499e-1 2.79118587e+0
634 5.26380321e-1 2.88558986e+0
636 5.53352484e-1 2.98422743e+0
638 5.82494003e-1 3.08740365e+0
640 6.14036958e-1 3.19545234e+0
642 6.48244834e-1 3.30873929e+0
644 6.85417686e-1 3.42766600e+0
646 7.25898308e-1 3.55267380e+0
648 7.70079638e-1 3.68424863e+0
650 8.18413669e-1 3.82292634e+0
652 8.71422234e-1 3.96929865e+0
654 9.29710123e-1 4.12401987e+0
656 9.93981088e-1 4.28781447e+0
658 1.06505751e+0 4.46148533e+0
660 1.14390466e+0 4.64592294e+0
662 1.23166076e+0 4.84211534e+0
664 1.32967455e+0 5.05115858e+0
666 1.43955232e+0 5.27426746e+0
668 1.56321729e+0 5.51278577e+0
670 1.70298486e+0 5.76819497e+0
672 1.86165866e+0 6.04211924e+0
674 2.04265366e+0 6.33632378e+0
676 2.25015473e+0 6.65270105e+0
678 2.48932189e+0 6.99323645e+0
680 2.76655650e+0 7.35993955e+0
682 3.08984703e+0 7.75471843e+0
684 3.46921715e+0 8.17916079e+0
686 3.91730211e+0 8.63416287e+0
688 4.45007851e+0 9.11931053e+0
690 5.08775929e+0 9.63185883e+0
692 5.85582353e+0 1.01650657e+1
694 6.78604260e+0 1.07055016e+1
696 7.91711670e+0 1.12287848e+1
698 9.29401271e+0 1.16930289e+1
700 1.09640787e+1 1.20293654e+1
702 1.29662996e+1 1.21298137e+1
704 1.53079587e+1 1.18359277e+1
706 1.79228645e+1 1.09391346e+1
708 2.06143552e+1 9.21547700e+0
710 2.30150632e+1 6.52150342e+0
712 2.46352342e+1 2.94079476e+0
714 2.50536095e+1 -1.12324920e+0
716 2.41588567e+1 -5.05372694e+0
718 2.22207802e+1 -8.30194347e+0
720 1.97159637e+1 -1.06078387e+1
722 1.70883116e+1 -1.20024646e+1
724 1.46252997e+1 -1.26739549e+1
726 1.24596092e+1 -1.28403714e+1
728 1.06217218e+1 -1.26850661e+1
730 9.09012824e+0 -1.23407804e+1
732 7.82350702e+0 -1.18958801e+1
734 6.77736211e+0 -1.14061421e+1
736 5.91116461e+0 -1.09053801e+1
738 5.19061751e+0 -1.04132839e+1
740 4.58772961e+0 -9.94071288e+0
742 4.08005979e+0 -9.49311574e+0
744 3.64975592e+0 -9.07268605e+0
746 3.28264425e+0 -8.67970378e+0
748 2.96745448e+0 -8.31336238e+0
750 2.69519287e+0 -7.97227491e+0
752 2.45864771e+0 -7.65478064e+0
754 2.25200427e+0 -7.35912807e+0
756 2.07054663e+0 -7.08358142e+0
758 1.91042695e+0 -6.82648005e+0
760 1.76848686e+0 -6.58626893e+0
762 1.64211853e+0 -6.36151164e+0
764 1.52915629e+0 -6.15089296e+0
766 1.42779166e+0 -5.95321538e+0
768 1.33650632e+0 -5.76739252e+0
770 1.25401899e+0 -5.59244079e+0
772 1.17924310e+0 -5.42747068e+0
774 1.11125286e+0 -5.27167797e+0
776 1.04925591e+0 -5.12433540e+0
778 9.92571174e-1 -4.98478496e+0
780 9.40610853e-1 -4.85243070e+0
782 8.92865640e-1 -4.72673233e+0
784 8.48892600e-1 -4.60719939e+0
786 8.08305146e-1 -4.49338607e+0
788 7.70764720e-1 -4.38488660e+0
790 7.35973863e-1 -4.28133104e+0
792 7.03670407e-1 -4.18238169e+0
794 6.73622605e-1 -4.08772979e+0
