#Note:C; Temperature:25°C
#f[Hz] Re(Z/Zc) Im(Z/Zc)
572 1.27203468e-1 -2.09253072e-1
574 1.28728380e-1 -1.78280695e-1
576 1.30375632e-1 -1.46871282e-1
578 1.32152009e-1 -1.14995017e-1
580 1.34064915e-1 -8.26204844e-2
582 1.36122430e-1 -4.97145294e-2
584 1.38333379e-1 -1.62420999e-2
586 1.40707407e-1 1.78339225e-2
588 1.43255063e-1 5.25529103e-2
590 1.45987896e-1 8.79566953e-2
592 1.48918563e-1 1.24089796e-1
594 1.52060953e-1 1.60999666e-1
596 1.55430322e-1 1.98736973e-1
598 1.59043454e-1 2.37355906e-1
600 1.62918835e-1 2.76914513e-1
602 1.67076863e-1 3.17475081e-1
604 1.71540077e-1 3.59104561e-1
606 1.76333428e-1 4.01875036e-1
608 1.81484582e-1 4.45864254e-1
610 1.87024280e-1 4.91156214e-1
612 1.92986742e-1 5.37841838e-1
614 1.99410145e-1 5.86019720e-1
616 2.06337172e-1 6.35796970e-1
618 2.13815655e-1 6.87290177e-1
620 2.21899331e-1 7.40626493e-1
622 2.30648716e-1 7.95944875e-1
624 2.40132155e-1 8.53397487e-1
626 2.50427042e-1 9.13151319e-1
628 2.61621283e-1 9.75390026e-1
630 2.73815037e-1 1.04031605e+0
632 2.87122794e-1 1.10815307e+0
634 3.01675879e-1 1.17914881e+0
636 3.17625474e-1 1.25357829e+0
638 3.35146291e-1 1.33174766e+0
640 3.54441049e-1 1.41399856e+0
642 3.75745969e-1 1.50071329e+0
644 3.99337554e-1 1.59232084e+0
646 4.25541011e-1 1.68930390e+0
648 4.54740763e-1 1.79220719e+0
650 4.87393681e-1 1.90164718e+0
652 5.24045838e-1 2.01832353e+0
654 5.65353885e-1 2.14303258e+0
656 6.12112544e-1 2.27668317e+0
658 6.65290258e-1 2.42031513e+0
660 7.26075806e-1 2.57512069e+0
662 7.95939835e-1 2.74246907e+0
664 8.76716818e-1 2.92393398e+0
666 9.70715316e-1 3.12132316e+0
668 1.08086781e+0 3.33670788e+0
670 1.21093637e+0 3.57244764e+0
672 1.36579778e+0 3.83120046e+0
674 1.55184253e+0 4.11590016e+0
676 1.77753766e+0 4.42966463e+0
678 2.05422467e+0 4.77556629e+0
680 2.39725081e+0 5.15613328e+0
682 2.82755670e+0 5.57232987e+0
684 3.37383836e+0 6.02153648e+0
686 4.07527499e+0 6.49362605e+0
688 4.98430838e+0 6.96349768e+0
690 6.16739944e+0 7.37736773e+0
692 7.69756326e+0 7.62949246e+0
694 9.62359095e+0 7.52966409e+0
696 1.18895367e+1 6.78172902e+0
698 1.41939154e+1 5.04612246e+0
700 1.59012107e+1 2.19744663e+0
702 1.63012290e+1 -1.32277643e+0
704 1.52105930e+1 -4.59500245e+0
706 1.31587567e+1 -6.89832082e+0
708 1.08694441e+1 -8.12145011e+0
710 8.79855864e+0 -8.53925574e+0
712 7.10014502e+0 -8.47681242e+0
714 5.76566523e+0 -8.16934215e+0
716 4.73213933e+0 -7.75675993e+0
718 3.93162252e+0 -7.31417110e+0
720 3.30709443e+0 -6.87902099e+0
722 2.81475094e+0 -6.46838853e+0
724 2.42207372e+0 -6.08877993e+0
726 2.10518016e+0 -5.74140549e+0
728 1.84651907e+0 -5.42495629e+0
730 1.63311046e+0 -5.13704275e+0
732 1.45526701e+0 -4.87492620e+0
734 1.30568333e+0 -4.63587884e+0
736 1.17879039e+0 -4.41734946e+0
738 1.07029700e+0 -4.21702854e+0
740 9.76861825e-1 -4.03286242e+0
742 8.95857075e-1 -3.86304301e+0
744 8.25196384e-1 -3.70598657e+0
746 7.63208368e-1 -3.56030911e+0
748 7.08542743e-1 -3.42480168e+0
750 6.60099956e-1 -3.29840742e+0
752 6.16977941e-1 -3.18020105e+0
754 5.78431456e-1 -3.06937080e+0
756 5.43840762e-1 -2.96520280e+0
758 5.12687303e-1 -2.86706767e+0
760 4.84534656e-1 -2.77440899e+0
762 4.59013514e-1 -2.68673355e+0
764 4.35809752e-1 -2.60360291e+0
766 4.14654878e-1 -2.52462628e+0
768 3.95318357e-1 -2.44945439e+0
770 3.77601383e-1 -2.37777425e+0
772 3.61331810e-1 -2.30930463e+0
