#Note:C2; Temperature:25°C
#f[Hz] Re(Z/Zc) Im(Z/Zc)
500 7.91804360e-2 -7.67542546e-1
502 7.90990824e-2 -7.55205341e-1
504 7.90252167e-2 -7.42878594e-1
506 7.89588760e-2 -7.30561106e-1
508 7.89001004e-2 -7.18251677e-1
510 7.88489327e-2 -7.05949104e-1
512 7.88054192e-2 -6.93652181e-1
514 7.87696088e-2 -6.81359700e-1
516 7.87415538e-2 -6.69070447e-1
518 7.87213098e-2 -6.56783203e-1
520 7.87089353e-2 -6.44496747e-1
522 7.87044925e-2 -6.32209850e-1
524 7.87080467e-2 -6.19921278e-1
526 7.87196668e-2 -6.07629790e-1
528 7.87394253e-2 -5.95334140e-1
530 7.87673982e-2 -5.83033071e-1
532 7.88036651e-2 -5.70725321e-1
534 7.88483097e-2 -5.58409619e-1
536 7.89014192e-2 -5.46084682e-1
538 7.89630850e-2 -5.33749222e-1
540 7.90334024e-2 -5.21401937e-1
542 7.91124711e-2 -5.09041515e-1
544 7.92003949e-2 -4.96666633e-1
546 7.92972820e-2 -4.84275957e-1
548 7.94032450e-2 -4.71868138e-1
550 7.95184014e-2 -4.59441816e-1
552 7.96428733e-2 -4.46995615e-1
554 7.97767875e-2 -4.34528145e-1
556 7.99202762e-2 -4.22038002e-1
558 8.00734764e-2 -4.09523765e-1
560 8.02365308e-2 -3.96983994e-1
562 8.04095872e-2 -3.84417236e-1
564 8.05927994e-2 -3.71822016e-1
566 8.07863267e-2 -3.59196843e-1
568 8.09903348e-2 -3.46540203e-1
570 8.12049952e-2 -3.33850564e-1
572 8.14304860e-2 -3.21126370e-1
574 8.16669920e-2 -3.08366046e-1
576 8.19147045e-2 -2.95567991e-1
578 8.21738222e-2 -2.82730581e-1
580 8.24445508e-2 -2.69852167e-1
582 8.27271037e-2 -2.56931072e-1
584 8.30217021e-2 -2.43965595e-1
586 8.33285752e-2 -2.30954005e-1
588 8.36479605e-2 -2.17894541e-1
590 8.39801041e-2 -2.04785414e-1
592 8.43252612e-2 -1.91624802e-1
594 8.46836963e-2 -1.78410850e-1
596 8.50556832e-2 -1.65141670e-1
598 8.54415059e-2 -1.51815339e-1
600 8.58414587e-2 -1.38429896e-1
602 8.62558466e-2 -1.24983345e-1
604 8.66849858e-2 -1.11473647e-1
606 8.71292038e-2 -9.78987258e-2
608 8.75888403e-2 -8.42564609e-2
610 8.80642474e-2 -7.05446889e-2
612 8.85557901e-2 -5.67612006e-2
614 8.90638470e-2 -4.29037400e-2
616 8.95888106e-2 -2.89700021e-2
618 9.01310879e-2 -1.49576315e-2
620 9.06911010e-2 -8.64219909e-4
622 9.12692880e-2 1.33126951e-2
624 9.18661031e-2 2.75756326e-2
626 9.24820180e-2 4.19271703e-2
628 9.31175218e-2 5.63699468e-2
630 9.37731225e-2 7.09066637e-2
632 9.44493471e-2 8.55400882e-2
634 9.51467433e-2 1.00273055e-1
636 9.58658793e-2 1.15108471e-1
638 9.66073458e-2 1.30049314e-1
640 9.73717561e-2 1.45098639e-1
642 9.81597476e-2 1.60259581e-1
644 9.89719829e-2 1.75535356e-1
646 9.98091505e-2 1.90929264e-1
648 1.00671967e-1 2.06444696e-1
650 1.01561176e-1 2.22085133e-1
652 1.02477553e-1 2.37854154e-1
654 1.03421903e-1 2.53755434e-1
656 1.04395066e-1 2.69792755e-1
658 1.05397915e-1 2.85970003e-1
660 1.06431359e-1 3.02291180e-1
662 1.07496346e-1 3.18760400e-1
664 1.08593861e-1 3.35381902e-1
666 1.09724933e-1 3.52160048e-1
668 1.10890634e-1 3.69099332e-1
670 1.12092082e-1 3.86204387e-1
672 1.13330443e-1 4.03479985e-1
674 1.14606933e-1 4.20931049e-1
676 1.15922821e-1 4.38562656e-1
678 1.17279433e-1 4.56380044e-1
680 1.18678153e-1 4.74388619e-1
682 1.20120428e-1 4.92593964e-1
684 1.21607769e-1 5.11001843e-1
686 1.23141755e-1 5.29618213e-1
688 1.24724039e-1 5.48449229e-1
690 1.26356350e-1 5.67501257e-1
692 1.28040497e-1 5.86780878e-1
694 1.29778375e-1 6.06294904e-1
696 1.31571967e-1 6.26050383e-1
698 1.33423352e-1 6.46054611e-1
700 1.35334710e-1 6.66315149e-1
702 1.37308326e-1 6.86839827e-1
704 1.39346597e-1 7.07636762e-1
706 1.41452039e-1 7.28714372e-1
708 1.43627295e-1 7.50081385e-1
710 1.45875139e-1 7.71746862e-1
712 1.48198490e-1 7.93720206e-1
714 1.50600413e-1 8.16011185e-1
716 1.53084136e-1 8.38629943e-1
718 1.55653053e-1 8.61587027e-1
720 1.58310740e-1 8.84893401e-1
722 1.61060965e-1 9.08560471e-1
724 1.63907698e-1 9.32600104e-1
726 1.66855127e-1 9.57024657e-1
728 1.69907670e-1 9.81847000e-1
730 1.73069993e-1 1.00708054e+0
732 1.76347024e-1 1.03273926e+0
734 1.79743973e-1 1.05883774e+0
736 1.83266349e-1 1.08539119e+0
738 1.86919982e-1 1.11241549e+0
740 1.90711047e-1 1.13992722e+0
742 1.94646086e-1 1.16794373e+0
744 1.98732034e-1 1.19648312e+0
746 2.02976251e-1 1.22556434e+0
748 2.07386550e-1 1.25520723e+0
750 2.11971232e-1 1.28543256e+0
752 2.16739121e-1 1.31626207e+0
754 2.21699608e-1 1.34771857e+0
756 2.26862690e-1 1.37982598e+0
758 2.32239020e-1 1.41260937e+0
760 2.37839958e-1 1.44609511e+0
762 2.43677628e-1 1.48031086e+0
764 2.49764979e-1 1.51528571e+0
766 2.56115855e-1 1.55105028e+0
768 2.62745067e-1 1.58763676e+0
770 2.69668477e-1 1.62507906e+0
772 2.76903085e-1 1.66341293e+0
774 2.84467130e-1 1.70267605e+0
776 2.92380199e-1 1.74290818e+0
778 3.00663347e-1 1.78415130e+0
780 3.09339228e-1 1.82644979e+0
782 3.18432244e-1 1.86985053e+0
784 3.27968709e-1 1.91440317e+0
786 3.37977025e-1 1.96016025e+0
788 3.48487886e-1 2.00717745e+0
790 3.59534503e-1 2.05551384e+0
792 3.71152849e-1 2.10523208e+0
794 3.83381940e-1 2.15639872e+0
796 3.96264143e-1 2.20908453e+0
798 4.09845528e-1 2.26336476e+0
800 4.24176253e-1 2.31931955e+0
802 4.39311011e-1 2.37703427e+0
804 4.55309516e-1 2.43659998e+0
806 4.72237067e-1 2.49811387e+0
808 4.90165176e-1 2.56167977e+0
810 5.09172282e-1 2.62740867e+0
812 5.29344565e-1 2.69541936e+0
814 5.50776864e-1 2.76583907e+0
816 5.73573732e-1 2.83880418e+0
818 5.97850635e-1 2.91446101e+0
820 6.23735329e-1 2.99296668e+0
822 6.51369439e-1 3.07449006e+0
824 6.80910275e-1 3.15921276e+0
826 7.12532930e-1 3.24733026e+0
828 7.46432702e-1 3.33905317e+0
830 7.82827908e-1 3.43460846e+0
832 8.21963148e-1 3.53424095e+0
834 8.64113125e-1 3.63821483e+0
836 9.09587093e-1 3.74681528e+0
838 9.58734090e-1 3.86035023e+0
840 1.01194909e+0 3.97915215e+0
842 1.06968023e+0 4.10357996e+0
844 1.13243746e+0 4.23402089e+0
846 1.20080265e+0 4.37089233e+0
848 1.27544178e+0 4.51464346e+0
850 1.35711942e+0 4.66575663e+0
852 1.44671609e+0 4.82474817e+0
854 1.54524913e+0 4.99216835e+0
856 1.65389782e+0 5.16860002e+0
858 1.77403374e+0 5.35465526e+0
860 1.90725752e+0 5.55096916e+0
862 2.05544336e+0 5.75818928e+0
864 2.22079311e+0 5.97695895e+0
866 2.40590182e+0 6.20789159e+0
868 2.61383718e+0 6.45153218e+0
870 2.84823539e+0 6.70830026e+0
872 3.11341607e+0 6.97840629e+0
874 3.41451846e+0 7.26173010e+0
876 3.75765973e+0 7.55764495e+0
878 4.15011341e+0 7.86476425e+0
880 4.60049956e+0 8.18057897e+0
882 5.11896669e+0 8.50094191e+0
884 5.71732418e+0 8.81934159e+0
886 6.40904663e+0 9.12589524e+0
888 7.20900954e+0 9.40598534e+0
890 8.13271767e+0 9.63848469e+0
892 9.19464613e+0 9.79359635e+0
894 1.04051428e+1 9.83054330e+0
896 1.17652122e+1 9.69577468e+0
898 1.32586237e+1 9.32310558e+0
900 1.48415834e+1 8.63821480e+0
902 1.64322491e+1 7.57063212e+0
904 1.79057875e+1 6.07527771e+0
906 1.91037460e+1 4.16072002e+0
908 1.98645716e+1 1.91257110e+0
910 2.00706312e+1 -5.05915013e-1
912 1.96906254e+1 -2.88697916e+0
914 1.87915558e+1 -5.03427812e+0
916 1.75122575e+1 -6.81244060e+0
918 1.60161617e+1 -8.16653780e+0
920 1.44496009e+1 -9.11050489e+0
922 1.29201925e+1 -9.70028912e+0
924 1.14941341e+1 -1.00078454e+1
926 1.02039727e+1 -1.01036642e+1
928 9.05919267e+0 -1.00481598e+1
930 8.05548618e+0 -9.88916667e+0
932 7.18142917e+0 -9.66266893e+0
934 6.42273100e+0 -9.39479811e+0
936 5.76468530e+0 -9.10403915e+0
938 5.19344220e+0 -8.80318504e+0
940 4.69657046e+0 -8.50090351e+0
942 4.26322072e+0 -8.20292565e+0
944 3.88408185e+0 -7.91291910e+0
946 3.55124167e+0 -7.63311670e+0
948 3.25801376e+0 -7.36476342e+0
950 2.99876218e+0 -7.10843151e+0
952 2.76873941e+0 -6.86424153e+0
954 2.56394349e+0 -6.63201651e+0
956 2.38099543e+0 -6.41138926e+0
958 2.21703583e+0 -6.20187650e+0
960 2.06963858e+0 -6.00292980e+0
962 1.93673925e+0 -5.81397037e+0
964 1.81657580e+0 -5.63441230e+0
966 1.70763971e+0 -5.46367803e+0
968 1.60863551e+0 -5.30120807e+0
970 1.51844738e+0 -5.14646704e+0
972 1.43611154e+0 -4.99894692e+0
974 1.36079326e+0 -4.85816855e+0
976 1.29176789e+0 -4.72368183e+0
978 1.22840499e+0 -4.59506523e+0
980 1.17015517e+0 -4.47192459e+0
982 1.11653908e+0 -4.35389180e+0
984 1.06713828e+0 -4.24062319e+0
986 1.02158761e+0 -4.13179787e+0
988 9.79568896e-1 -4.02711613e+0
990 9.40805784e-1 -3.92629779e+0
992 9.05059516e-1 -3.82908078e+0
994 8.72125623e-1 -3.73521975e+0
996 8.41831384e-1 -3.64448493e+0
998 8.14034041e-1 -3.55666116e+0
1000 7.88619732e-1 -3.47154725e+0
1002 7.65503138e-1 -3.38895569e+0
1004 7.44627872e-1 -3.30871293e+0
1006 7.25967626e-1 -3.23066030e+0
1008 7.09528120e-1 -3.15465598e+0
1010 6.95349854e-1 -3.08057830e+0
1012 6.83511606e-1 -3.00833108e+0
1014 6.74134487e-1 -2.93785171e+0
1016 6.67386019e-1 -2.86912322e+0
1018 6.63483232e-1 -2.80219178e+0
1020 6.62692694e-1 -2.73719147e+0
1022 6.65323808e-1 -2.67437848e+0
1024 6.71708988e-1 -2.61417607e+0
1026 6.82160528e-1 -2.55722949e+0
1028 6.96889396e-1 -2.50446413e+0
1030 7.15868246e-1 -2.45712777e+0
1032 7.38625842e-1 -2.41677740e+0
1034 7.63985238e-1 -2.38514422e+0
1036 7.89817929e-1 -2.36379829e+0
1038 8.12977295e-1 -2.35357821e+0
1040 8.29634483e-1 -2.35390290e+0
1042 8.36135036e-1 -2.36230772e+0
1044 8.30149253e-1 -2.37463827e+0
1046 8.11520615e-1 -2.38603671e+0
1048 7.82267920e-1 -2.39228383e+0
1050 7.45757328e-1 -2.39077197e+0
1052 7.05594139e-1 -2.38070438e+0
1054 6.64799484e-1 -2.36267086e+0
1056 6.25474612e-1 -2.33801162e+0
1058 5.88839437e-1 -2.30828453e+0
1060 5.55441928e-1 -2.27494278e+0
1062 5.25390044e-1 -2.23919474e+0
1064 4.98538925e-1 -2.20197704e+0
1066 4.74619482e-1 -2.16398237e+0
1068 4.53317604e-1 -2.12570570e+0
1070 4.34318609e-1 -2.08749080e+0
1072 4.17329612e-1 -2.04956981e+0
1074 4.02088882e-1 -2.01209439e+0
1076 3.88368028e-1 -1.97515905e+0
1078 3.75970536e-1 -1.93881824e+0
1080 3.64728680e-1 -1.90309856e+0
1082 3.54499911e-1 -1.86800749e+0
1084 3.45163282e-1 -1.83353957e+0
1086 3.36616178e-1 -1.79968067e+0
1088 3.28771443e-1 -1.76641101e+0
1090 3.21554922e-1 -1.73370732e+0
1092 3.14903388e-1 -1.70154423e+0
1094 3.08762806e-1 -1.66989530e+0
1096 3.03086893e-1 -1.63873370e+0
1098 2.97835923e-1 -1.60803264e+0
1100 2.92975741e-1 -1.57776569e+0
1102 2.88476946e-1 -1.54790695e+0
1104 2.84314211e-1 -1.51843114e+0
1106 2.80465730e-1 -1.48931366e+0
1108 2.76912752e-1 -1.46053059e+0
1110 2.73639200e-1 -1.43205868e+0
1112 2.70631356e-1 -1.40387530e+0
1114 2.67877599e-1 -1.37595841e+0
1116 2.65368196e-1 -1.34828650e+0
1118 2.63095126e-1 -1.32083852e+0
1120 2.61051944e-1 -1.29359380e+0
1122 2.59233668e-1 -1.26653204e+0
1124 2.57636701e-1 -1.23963316e+0
1126 2.56258769e-1 -1.21287730e+0
1128 2.55098886e-1 -1.18624474e+0
1130 2.54157332e-1 -1.15971578e+0
1132 2.53435661e-1 -1.13327072e+0
1134 2.52936716e-1 -1.10688979e+0
1136 2.52664674e-1 -1.08055305e+0
1138 2.52625105e-1 -1.05424033e+0
1140 2.52825050e-1 -1.02793115e+0
1142 2.53273131e-1 -1.00160467e+0
1144 2.53979675e-1 -9.75239602e-1
1146 2.54956874e-1 -9.48814116e-1
1148 2.56218977e-1 -9.22305794e-1
1150 2.57782509e-1 -8.95691546e-1
1152 2.59666545e-1 -8.68947537e-1
1154 2.61893023e-1 -8.42049126e-1
1156 2.64487119e-1 -8.14970803e-1
1158 2.67477687e-1 -7.87686149e-1
1160 2.70897780e-1 -7.60167798e-1
1162 2.74785259e-1 -7.32387441e-1
1164 2.79183520e-1 -7.04315854e-1
1166 2.84142347e-1 -6.75922977e-1
1168 2.89718922e-1 -6.47178068e-1
1170 2.95979023e-1 -6.18049955e-1
1172 3.02998440e-1 -5.88507412e-1
1174 3.10864649e-1 -5.58519731e-1
1176 3.19678800e-1 -5.28057538e-1
1178 3.29558058e-1 -4.97093966e-1
1180 3.40638365e-1 -4.65606286e-1
1182 3.53077670e-1 -4.33578202e-1
1184 3.67059691e-1 -4.01003021e-1
1186 3.82798228e-1 -3.67888034e-1
1188 4.00542026e-1 -3.34260535e-1
1190 4.20580083e-1 -3.00176072e-1
1192 4.43247182e-1 -2.65729699e-1
1194 4.68929128e-1 -2.31071242e-1
1196 4.98066785e-1 -1.96425857e-1
1198 5.31157269e-1 -1.62121428e-1
1200 5.68749612e-1 -1.28624490e-1
1202 6.11430490e-1 -9.65861982e-2
1204 6.59793300e-1 -6.68989882e-2
1206 7.14380722e-1 -4.07621371e-2
1208 7.75587511e-1 -1.97494416e-2
1210 8.43507956e-1 -5.86289771e-3
1212 9.17714779e-1 -1.54130466e-3
1214 9.96969518e-1 -9.57271370e-3
1216 1.07889790e+0 -3.28413630e-2
1218 1.15972355e+0 -7.38417192e-2
1220 1.23422882e+0 -1.33946257e-1
1222 1.29615379e+0 -2.12547488e-1
1224 1.33916523e+0 -3.06383971e-1
1226 1.35826619e+0 -4.09476754e-1
1228 1.35116632e+0 -5.13961423e-1
1230 1.31897668e+0 -6.11662372e-1
1232 1.26586149e+0 -6.95795700e-1
1234 1.19783624e+0 -7.62101817e-1
1236 1.12130622e+0 -8.09077902e-1
1238 1.04191558e+0 -8.37470814e-1
1240 9.63957200e-1 -8.49443443e-1
1242 8.90281605e-1 -8.47780348e-1
1244 8.22503968e-1 -8.35315363e-1
1246 7.61319611e-1 -8.14604645e-1
1248 7.06809472e-1 -7.87789413e-1
1250 6.58684559e-1 -7.56576738e-1
1252 6.16460354e-1 -7.22280637e-1
1254 5.79571201e-1 -6.85886123e-1
1256 5.47439991e-1 -6.48115675e-1
1258 5.19517287e-1 -6.09488673e-1
1260 4.95300798e-1 -5.70370595e-1
1262 4.74342917e-1 -5.31011961e-1
1264 4.56251385e-1 -4.91578273e-1
1266 4.40686290e-1 -4.52172626e-1
1268 4.27355367e-1 -4.12852553e-1
1270 4.16008704e-1 -3.73642481e-1
1272 4.06433507e-1 -3.34542864e-1
1274 3.98449240e-1 -2.95536853e-1
1276 3.91903271e-1 -2.56595139e-1
1278 3.86667073e-1 -2.17679449e-1
1280 3.82632959e-1 -1.78745038e-1
1282 3.79711320e-1 -1.39742465e-1
1284 3.77828292e-1 -1.00618817e-1
1286 3.76923820e-1 -6.13185400e-2
1288 3.76950061e-1 -2.17839792e-2
1290 3.77870070e-1 1.80443088e-2
1292 3.79656749e-1 5.82274015e-2
1294 3.82292011e-1 9.88279816e-2
1296 3.85766140e-1 1.39910404e-1
1298 3.90077319e-1 1.81540835e-1
1300 3.95231320e-1 2.23787451e-1
1302 4.01241329e-1 2.66720689e-1
1304 4.08127913e-1 3.10413529e-1
1306 4.15919106e-1 3.54941824e-1
1308 4.24650642e-1 4.00384656e-1
1310 4.34366296e-1 4.46824723e-1
1312 4.45118384e-1 4.94348761e-1
1314 4.56968395e-1 5.43047991e-1
1316 4.69987792e-1 5.93018603e-1
1318 4.84258985e-1 6.44362256e-1
1320 4.99876514e-1 6.97186621e-1
1322 5.16948455e-1 7.51605940e-1
1324 5.35598097e-1 8.07741606e-1
1326 5.55965928e-1 8.65722768e-1
1328 5.78211988e-1 9.25686928e-1
1330 6.02518647e-1 9.87780539e-1
1332 6.29093898e-1 1.05215956e+0
1334 6.58175256e-1 1.11898995e+0
1336 6.90034383e-1 1.18844806e+0
1338 7.24982577e-1 1.26072079e+0
